trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
2,FALSE,1e-4,-1e-5,Temporary,Weak,0.95,-0.07281383052774443,1.0197210796049063,0,1.7114968844095015,0.87,0.41002645154302364,0,0.763492929868743,0,0,0.26,0.03,0.03,-0.06284927659191847
2,FALSE,1e-4,-1e-5,Temporary,Strong,0.93,-0.07642942301948957,0.8324529609928772,0.24,1.7105585583030527,0.87,0.037731998137374004,0,0.20232179560842356,0,0,1,1,1,-0.06666145996561253
2,FALSE,1e-4,-1e-5,Permanent,Weak,0.7,0.20048430892293623,0.6096699645319595,0.91,1.7232845383077928,0.82,1.434977906054439e-7,0,0.0019267708070041121,0,0,1,1,1,0.21564356156772033
2,FALSE,1e-4,-1e-5,Permanent,Strong,0.95,0.072618989181121,0.60706091136162,0.56,1.7818449037392845,0.63,1.906625066371357e-6,0,0.007259316493968441,0,0,0.89,0.68,0.68,0.13770342272641045
2,FALSE,1e-4,-1e-5,Permanent when exposed,Weak,0,4.8425382133442065,0.054661447841834986,1,0.28566775360401164,0.8877551020408163,8.288907471555856e-8,0,0.0013815582574850456,0,0,0.67,0.49,0.86,4.772178579433101
2,FALSE,1e-4,-1e-5,Permanent when exposed,Strong,0,3.4937347783791064,0.05671817720313827,1,141.44867702059747,0.7127659574468085,6.843376826365177e-8,0,0.00279910919331682,0,0,0.01,0,0.97,3.4852461593453397
2,FALSE,1e-4,-1e-5,Reverse causality,Weak,0,1.1877088063578987,1.1047714574821172,0.02,3.047033855200516,1,0.3655288981915301,0,2.049782377776177,0.98,0.85,0,0,0.85,1.1901863209693473
2,FALSE,1e-4,-1e-5,Reverse causality,Strong,0,1.8583264165318842,1.3872710062956648,0.79,4.297864230502018,1,0.4173908055634589,0,4.865440357086609,1,1,0,0,1,1.858932090640512
2,FALSE,1e-4,-1e-5,None,None,0.95,-0.07139752661846697,1.1010695226474878,0.02,1.7129679358974117,0.87,0.541262809502652,0,1.0155043830008301,0.03,0,0.01,0,0,-0.061478128896713155
4,TRUE,1e-4,0,Temporary,Weak,0.89,-0.06263682527691966,0.9600351672670977,0,2.1063519514824725,1,0.22664355116016657,0,0.7163034004903147,0,0,0.82,0.16,0.16,-0.06371219456712163
4,TRUE,1e-4,0,Temporary,Strong,0.54,-0.15973073630357193,0.8293481343608037,0.07,2.0986405224578846,1,0.01006400892388427,0,0.1900933978386169,0,0,1,1,1,-0.16068614617718618
4,TRUE,1e-4,0,Permanent,Weak,0,0.7070680546107893,0.6482486646552369,1,2.0816555078074246,1,2.55334893106985e-7,0,0.020004922473537193,0,0,1,1,1,0.7069492253823708
4,TRUE,1e-4,0,Permanent,Strong,0.61,0.21822245056001116,0.661922159467382,0.82,2.1393252622673717,0.99,9.551203702948842e-6,0,0.0415437979581773,0,0,1,1,1,0.22599965006029918
4,TRUE,1e-4,0,Permanent when exposed,Weak,0,2.220715846184514,0.05896630261511155,1,0.16845420051968008,1,9.38808139231378e-6,0,0.07381347394034021,0,0,1,1,1,2.214320178692494
4,TRUE,1e-4,0,Permanent when exposed,Strong,0,0.9265494115732644,0.07852556477372799,1,0.24048766137732105,1,4.9124813522727625e-6,0,0.03170898768916904,0,0,0.94,0.89,0.89,0.9337432156217583
4,TRUE,1e-4,0,Reverse causality,Weak,0,0.4891312490615803,1.1697596684112432,0.04,2.5757328405416544,1,0.33181168741554834,0,1.8697518827131054,1,0.99,0,0,0.99,0.486946738494492
4,TRUE,1e-4,0,Reverse causality,Strong,0,1.155716984282061,1.3870437068467816,1,3.396974872038804,1,0.37111517715791614,0,3.4535393996081427,1,1,0,0,1,1.1509451031282119
